설비명,품명,양품수량,불량수량,합게수량, 투입시간 , 가동시간 , 비가동시간 , 정미시간 ,양품율,성능가동율,시간가동율,종합효율,목표효율,
04호기 - 원일 150T,GEN4 INTAKE LH," 1,463 ", 3 ," 1,466 ",8.6,7.7,0.8,7.7,99.8%,100.0%,90.5%,90.3%,87.0%,
06호기 - 원일 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
08호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
09호기 - 원일 150T,VIS SOLENOID BODY (NU)," 1,134 ", - ," 1,134 ",5.0,5.0,0.0,4.3,100.0%,86.8%,100.0%,86.8%,83.0%,
10호기 - 원일 100T,ROTOR OS SLEEVE," 7,320 ", - ," 7,320 ",13.3,13.3,0.0,12.2,100.0%,91.5%,100.0%,91.5%,85.0%,
11호기 - 원일 100T,R-TAS GEN 3.0 CONNECTOR," 1,500 ", - ," 1,500 ",4.5,4.1,0.4,4.1,100.0%,100.0%,91.0%,90.9%,86.0%,
12호기 - 원일 120T,TAS GEN2.0 ROTOR IS," 5,156 ", - ," 5,156 ",17.4,17.4,0.0,13.2,100.0%,75.9%,100.0%,75.9%,83.0%,
13호기 - MEW 150T,KEV3 DRIVE_P 20.5Ω(9144060693)," 10,800 ", 2 ," 10,802 ",21.0,20.8,0.2,17.4,100.0%,83.8%,98.8%,82.8%,84.0%,
14호기 - MEW 150T,KEV3 DRIVE 14.5Ω(9144060260)," 6,000 ", 32 ," 6,032 ",12.0,12.0,0.0,9.7,99.5%,80.9%,100.0%,80.5%,84.0%,
15호기 - MEW 150T,KEV2 DRIVE 14.5Ω(9144060111)," 3,480 ", - ," 3,480 ",7.3,7.3,0.0,5.8,100.0%,79.1%,100.0%,79.1%,84.0%,
16호기 - 원일 120T,LINK OVERMOLD (N)," 7,180 ", - ," 7,180 ",21.0,21.0,0.0,18.0,100.0%,85.5%,100.0%,85.5%,86.0%,
19호기 - JSW 100T,KEV BOBBIN ASS'Y," 13,000 ", - ," 13,000 ",12.0,12.0,0.0,10.1,100.0%,84.2%,100.0%,84.2%,87.0%,
20호기 - MEW 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,85.0%,
21호기 - 원일 120T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,87.0%,
22호기 - ARBURG 200T,TAS GEN2.0 HOUSING," 3,560 ", - ," 3,560 ",5.8,5.4,0.3,5.4,100.0%,100.0%,94.5%,94.5%,90.0%,
23호기 - ARBURG 200T,TAS GEN2.0 GEAR COVER," 7,750 ", - ," 7,750 ",9.0,8.6,0.4,8.6,100.0%,100.0%,95.9%,95.9%,90.0%,
24호기 - 우진 220T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
25호기 - 우진 220T,MEB5 ESC COVER," 9,000 ", 6 ," 9,006 ",19.9,19.9,0.0,18.3,99.9%,91.7%,100.0%,91.7%,90.0%,
26호기 - 우진 220T,601D M/CORE COVER (KBE 1033BK)," 9,500 ", - ," 9,500 ",9.0,8.9,0.1,7.4,100.0%,83.2%,98.7%,82.1%,85.0%,
27호기 - 우진 220T,600C 외부 CASE (KOPLA)," 4,904 ", - ," 4,904 ",10.3,10.3,0.0,9.0,100.0%,87.0%,100.0%,87.0%,85.0%,
28호기 - 우진 150T,iMEB2 BOBBIN OV," 19,408 ", - ," 19,408 ",16.9,16.7,0.2,16.2,100.0%,96.8%,98.7%,95.6%,87.0%,
29호기 - 우진 150T,#N/A, - , - , - ,0.0,0.0,0.0,0.0,,,,,90.0%,
